age,gender,department,job_title,years_at_company,satisfaction_level,attrition,age_minus_tenure,maturity_satisfaction_interaction,loyalty_satisfaction_score
27,Male,Marketing,Manager,9.0,0.59,0,18.0,15.93,5.31
53,Female,Sales,Engineer,10.0,0.26,0,43.0,13.780000000000001,2.6
59,Female,Marketing,Analyst,8.0,0.3,1,51.0,17.7,2.4
42,Female,Engineering,Manager,1.0,0.48,0,41.0,20.16,0.48
44,Female,Sales,Engineer,10.0,0.64,0,34.0,28.16,6.4
47,Male,Sales,HR Specialist,10.0,0.89,0,37.0,41.83,8.9
58,Male,Marketing,HR Specialist,5.0,0.69,0,53.0,40.019999999999996,3.4499999999999997
57,Female,Sales,Analyst,8.0,0.98,0,49.0,55.86,7.84
34,Female,Finance,Accountant,6.0,0.01,1,28.0,0.34,0.06
57,Female,Marketing,Engineer,7.0,0.47,0,50.0,26.79,3.29
57,Female,HR,HR Specialist,5.0,0.36,1,52.0,20.52,1.7999999999999998
50,Male,Marketing,Accountant,3.0,0.18,0,47.0,9.0,0.54
44,Male,HR,Engineer,1.0,0.23,1,43.0,10.120000000000001,0.23
39,Female,Marketing,Analyst,7.0,0.23,1,32.0,8.97,1.61
57,Male,Finance,Manager,9.0,0.82,1,48.0,46.739999999999995,7.38
41,Male,Engineering,Accountant,10.0,0.58,0,31.0,23.779999999999998,5.8
29,Male,Finance,Accountant,5.0,0.4,1,24.0,11.600000000000001,2.0
28,Male,Finance,Accountant,9.0,0.52,0,19.0,14.56,4.68
27,Male,Engineering,Manager,8.0,0.85,0,19.0,22.95,6.8
45,Female,HR,Manager,5.0,0.52,1,40.0,23.400000000000002,2.6
27,Female,Finance,Manager,10.0,0.1,1,17.0,2.7,1.0
45,Male,Engineering,HR Specialist,4.0,0.65,0,41.0,29.25,2.6
32,Female,Engineering,Analyst,9.0,0.65,1,23.0,20.8,5.8500000000000005
53,Male,Marketing,HR Specialist,9.0,0.62,0,44.0,32.86,5.58
58,Female,Sales,Manager,4.0,0.92,0,54.0,53.36,3.68
46,Female,Marketing,Engineer,9.0,0.21,1,37.0,9.66,1.89
55,Female,Sales,Analyst,6.0,1.0,0,49.0,55.0,6.0
52,Female,Finance,HR Specialist,6.0,0.07,0,46.0,3.6400000000000006,0.42000000000000004
59,Female,Marketing,Accountant,8.0,0.78,0,51.0,46.02,6.24
58,Male,Finance,Analyst,3.0,0.61,1,55.0,35.38,1.83
37,Male,Engineering,Analyst,6.0,0.79,1,31.0,29.23,4.74
28,Female,Marketing,Analyst,10.0,0.35,1,18.0,9.799999999999999,3.5
30,Female,HR,HR Specialist,8.0,1.0,0,22.0,30.0,8.0
25,Male,Engineering,Accountant,1.0,0.13,1,24.0,3.25,0.13
36,Female,HR,Accountant,6.0,0.64,1,30.0,23.04,3.84
59,Male,HR,HR Specialist,7.0,0.96,0,52.0,56.64,6.72
35,Male,Sales,Analyst,3.0,0.63,0,32.0,22.05,1.8900000000000001
47,Male,HR,Accountant,5.0,0.55,0,42.0,25.85,2.75
38,Male,Marketing,HR Specialist,9.0,0.43,1,29.0,16.34,3.87
43,Male,Finance,Accountant,5.0,0.67,0,38.0,28.810000000000002,3.35
40,Female,HR,Analyst,10.0,0.81,0,30.0,32.400000000000006,8.100000000000001
52,Male,Sales,HR Specialist,6.0,0.42,0,46.0,21.84,2.52
55,Male,HR,HR Specialist,7.0,0.99,1,48.0,54.45,6.93
31,Female,Finance,HR Specialist,7.0,0.46,1,24.0,14.26,3.22
51,Female,Marketing,Engineer,3.0,0.28,1,48.0,14.280000000000001,0.8400000000000001
41,Male,HR,Accountant,1.0,0.6,1,40.0,24.599999999999998,0.6
31,Male,Engineering,Accountant,7.0,0.07,0,24.0,2.1700000000000004,0.49000000000000005
39,Female,Finance,Manager,1.0,0.2,0,38.0,7.800000000000001,0.2
36,Female,HR,Accountant,8.0,0.32,0,28.0,11.52,2.56
32,Female,Finance,HR Specialist,5.0,0.79,1,27.0,25.28,3.95
26,Female,Finance,HR Specialist,5.0,0.19,0,21.0,4.94,0.95
50,Male,Finance,HR Specialist,7.0,0.61,0,43.0,30.5,4.27
